Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-09-10,Guingamp,Montpellier,D,1,1,2.3,3.1,3.5,Guingamp-Montpellier,N
2016-09-10,Lille,Monaco,A,1,4,2.6,2.9,3.1,Lille-Monaco,2
2016-09-10,Lorient,Nancy,A,0,2,2.38,3.1,3.3,Lorient-Nancy,2
2016-09-10,Lyon,Bordeaux,A,1,3,1.62,3.8,5.5,Lyon-Bordeaux,2
2016-09-11,Nantes,Metz,A,0,3,1.73,3.4,5.5,Nantes-Metz,2
2016-09-11,Nice,Marseille,H,3,2,2.3,3.2,3.4,Nice-Marseille,1
2016-09-11,Rennes,Caen,H,2,0,2,3.3,4,Rennes-Caen,1
2016-09-16,Caen,Paris SG,A,0,6,7,4.5,1.4,Caen-Paris SG,2
2016-09-17,Bordeaux,Angers,A,0,1,1.8,3.5,4.75,Bordeaux-Angers,2
2016-09-17,Dijon,Metz,D,0,0,2.15,3.1,3.75,Dijon-Metz,N
2016-09-17,Lorient,Lille,H,1,0,3.1,3.1,2.5,Lorient-Lille,1
2016-09-17,Monaco,Rennes,H,3,0,1.73,3.5,5,Monaco-Rennes,1
2016-09-17,Nancy,Nantes,D,1,1,2.6,2.9,3.1,Nancy-Nantes,N
2016-09-17,Toulouse,Guingamp,H,2,1,2,3.25,4,Toulouse-Guingamp,1
2016-09-18,Marseille,Lyon,D,0,0,2.7,3.4,2.6,Marseille-Lyon,N
2016-09-18,Montpellier,Nice,D,1,1,2.3,3.2,3.3,Montpellier-Nice,N
2016-09-18,St Etienne,Bastia,H,1,0,1.65,3.6,6,St Etienne-Bastia,1
2016-09-20,Lille,Toulouse,A,1,2,2.05,3.1,4,Lille-Toulouse,2
2016-09-20,Paris SG,Dijon,H,3,0,1.11,9,23,Paris SG-Dijon,1
2016-09-21,Angers,Caen,H,2,1,2.25,3.2,3.4,Angers-Caen,1
2016-09-21,Bastia,Nancy,D,0,0,2.4,3,3.3,Bastia-Nancy,N
2016-09-21,Guingamp,Lorient,H,1,0,2.05,3.2,4,Guingamp-Lorient,1
2016-09-21,Lyon,Montpellier,H,5,1,1.57,4,6,Lyon-Montpellier,1
2016-09-21,Metz,Bordeaux,A,0,3,3.2,3.1,2.4,Metz-Bordeaux,2
2016-09-21,Nantes,St Etienne,D,0,0,2.5,2.9,3.1,Nantes-St Etienne,N
2016-09-21,Nice,Monaco,H,4,0,3.1,3.2,2.4,Nice-Monaco,1
2016-09-21,Rennes,Marseille,H,3,2,2.3,3.3,3.2,Rennes-Marseille,1
2016-09-23,Toulouse,Paris SG,H,2,0,7,4.2,1.5,Toulouse-Paris SG,1
2016-09-24,Bastia,Guingamp,H,1,0,2.4,3,3.3,Bastia-Guingamp,1
2016-09-24,Bordeaux,Caen,D,0,0,1.85,3.6,4.33,Bordeaux-Caen,N
2016-09-24,Dijon,Rennes,H,3,0,2.8,3.2,2.6,Dijon-Rennes,1
2016-09-24,Lorient,Lyon,H,1,0,4.2,3.5,1.91,Lorient-Lyon,1
2016-09-24,Monaco,Angers,H,2,1,1.62,3.75,6,Monaco-Angers,1
2016-09-24,Montpellier,Metz,A,0,1,1.67,3.6,5.75,Montpellier-Metz,2
2016-09-25,Marseille,Nantes,H,2,1,2,3.1,4.33,Marseille-Nantes,1
2016-09-25,Nancy,Nice,A,0,1,2.5,3.1,3.1,Nancy-Nice,2
2016-09-25,St Etienne,Lille,H,3,1,2.3,3,3.5,St Etienne-Lille,1
